"d","tot.tests","sens","Ds","Da","Ts","Ta","sim","median","lower","upper","objective"
0,0,1,0.0416666666666667,0.0416666666666667,24,24,1,5297,4824,5727.05,"tot.cases"
0,0,1,0.0416666666666667,0.0416666666666667,24,24,1,27,20,37,"peak.hosp"
0,0,1,0.0416666666666667,0.0416666666666667,24,24,1,0,0,0,"days.above.thresh"
0,0,1,0.0416666666666667,0.0416666666666667,24,24,1,82,65,100,"tot.hosp"
0,0,1,0.0416666666666667,0.0416666666666667,24,24,1,36,26,48,"death"
0,0,1,0.0416666666666667,0.0416666666666667,24,24,1,0,0,0,"sympiso"
0,0,1,0.0416666666666667,0.0416666666666667,24,24,1,0,0,0,"asympiso"
0.05,0,1,0.0416666666666667,0.0416666666666667,24,24,2,4743,4252.9,5177,"tot.cases"
0.05,0,1,0.0416666666666667,0.0416666666666667,24,24,2,24,17,33,"peak.hosp"
0.05,0,1,0.0416666666666667,0.0416666666666667,24,24,2,0,0,0,"days.above.thresh"
0.05,0,1,0.0416666666666667,0.0416666666666667,24,24,2,73,57,90,"tot.hosp"
0.05,0,1,0.0416666666666667,0.0416666666666667,24,24,2,33,24,44,"death"
0.05,0,1,0.0416666666666667,0.0416666666666667,24,24,2,0,0,0,"sympiso"
0.05,0,1,0.0416666666666667,0.0416666666666667,24,24,2,0,0,0,"asympiso"
0.1,0,1,0.0416666666666667,0.0416666666666667,24,24,3,4194,3718,4642.05,"tot.cases"
0.1,0,1,0.0416666666666667,0.0416666666666667,24,24,3,21,15,29,"peak.hosp"
0.1,0,1,0.0416666666666667,0.0416666666666667,24,24,3,0,0,0,"days.above.thresh"
0.1,0,1,0.0416666666666667,0.0416666666666667,24,24,3,65,51,81,"tot.hosp"
0.1,0,1,0.0416666666666667,0.0416666666666667,24,24,3,30,21,40,"death"
0.1,0,1,0.0416666666666667,0.0416666666666667,24,24,3,0,0,0,"sympiso"
0.1,0,1,0.0416666666666667,0.0416666666666667,24,24,3,0,0,0,"asympiso"
0.15,0,1,0.0416666666666667,0.0416666666666667,24,24,4,3642,3191.95,4059,"tot.cases"
0.15,0,1,0.0416666666666667,0.0416666666666667,24,24,4,19,12,26,"peak.hosp"
0.15,0,1,0.0416666666666667,0.0416666666666667,24,24,4,0,0,0,"days.above.thresh"
0.15,0,1,0.0416666666666667,0.0416666666666667,24,24,4,58,44,72,"tot.hosp"
0.15,0,1,0.0416666666666667,0.0416666666666667,24,24,4,26,18,36,"death"
0.15,0,1,0.0416666666666667,0.0416666666666667,24,24,4,0,0,0,"sympiso"
0.15,0,1,0.0416666666666667,0.0416666666666667,24,24,4,0,0,0,"asympiso"
0.2,0,1,0.0416666666666667,0.0416666666666667,24,24,5,3116.5,2716.95,3523,"tot.cases"
0.2,0,1,0.0416666666666667,0.0416666666666667,24,24,5,16,10,23,"peak.hosp"
0.2,0,1,0.0416666666666667,0.0416666666666667,24,24,5,0,0,0,"days.above.thresh"
0.2,0,1,0.0416666666666667,0.0416666666666667,24,24,5,51,39,64.0500000000002,"tot.hosp"
0.2,0,1,0.0416666666666667,0.0416666666666667,24,24,5,24,16,32,"death"
0.2,0,1,0.0416666666666667,0.0416666666666667,24,24,5,0,0,0,"sympiso"
0.2,0,1,0.0416666666666667,0.0416666666666667,24,24,5,0,0,0,"asympiso"
0.25,0,1,0.0416666666666667,0.0416666666666667,24,24,6,2619,2235,2998,"tot.cases"
0.25,0,1,0.0416666666666667,0.0416666666666667,24,24,6,14,9,20,"peak.hosp"
0.25,0,1,0.0416666666666667,0.0416666666666667,24,24,6,0,0,0,"days.above.thresh"
0.25,0,1,0.0416666666666667,0.0416666666666667,24,24,6,44,33,57,"tot.hosp"
0.25,0,1,0.0416666666666667,0.0416666666666667,24,24,6,21,14,30,"death"
0.25,0,1,0.0416666666666667,0.0416666666666667,24,24,6,0,0,0,"sympiso"
0.25,0,1,0.0416666666666667,0.0416666666666667,24,24,6,0,0,0,"asympiso"
0.3,0,1,0.0416666666666667,0.0416666666666667,24,24,7,2173,1841,2519.05,"tot.cases"
0.3,0,1,0.0416666666666667,0.0416666666666667,24,24,7,11,7,17,"peak.hosp"
0.3,0,1,0.0416666666666667,0.0416666666666667,24,24,7,0,0,0,"days.above.thresh"
0.3,0,1,0.0416666666666667,0.0416666666666667,24,24,7,39,28,50,"tot.hosp"
0.3,0,1,0.0416666666666667,0.0416666666666667,24,24,7,19,12,26,"death"
0.3,0,1,0.0416666666666667,0.0416666666666667,24,24,7,0,0,0,"sympiso"
0.3,0,1,0.0416666666666667,0.0416666666666667,24,24,7,0,0,0,"asympiso"
0.35,0,1,0.0416666666666667,0.0416666666666667,24,24,8,1775,1482,2084.1,"tot.cases"
0.35,0,1,0.0416666666666667,0.0416666666666667,24,24,8,10,6,14,"peak.hosp"
0.35,0,1,0.0416666666666667,0.0416666666666667,24,24,8,0,0,0,"days.above.thresh"
0.35,0,1,0.0416666666666667,0.0416666666666667,24,24,8,34,24,44,"tot.hosp"
0.35,0,1,0.0416666666666667,0.0416666666666667,24,24,8,16,10,23,"death"
0.35,0,1,0.0416666666666667,0.0416666666666667,24,24,8,0,0,0,"sympiso"
0.35,0,1,0.0416666666666667,0.0416666666666667,24,24,8,0,0,0,"asympiso"
0.4,0,1,0.0416666666666667,0.0416666666666667,24,24,9,1424.5,1177.95,1687,"tot.cases"
0.4,0,1,0.0416666666666667,0.0416666666666667,24,24,9,8,5,12,"peak.hosp"
0.4,0,1,0.0416666666666667,0.0416666666666667,24,24,9,0,0,0,"days.above.thresh"
0.4,0,1,0.0416666666666667,0.0416666666666667,24,24,9,29,20,39,"tot.hosp"
0.4,0,1,0.0416666666666667,0.0416666666666667,24,24,9,14,9,21,"death"
0.4,0,1,0.0416666666666667,0.0416666666666667,24,24,9,0,0,0,"sympiso"
0.4,0,1,0.0416666666666667,0.0416666666666667,24,24,9,0,0,0,"asympiso"
0.45,0,1,0.0416666666666667,0.0416666666666667,24,24,10,1130,924,1346,"tot.cases"
0.45,0,1,0.0416666666666667,0.0416666666666667,24,24,10,7,4,11,"peak.hosp"
0.45,0,1,0.0416666666666667,0.0416666666666667,24,24,10,0,0,0,"days.above.thresh"
0.45,0,1,0.0416666666666667,0.0416666666666667,24,24,10,25,17,34,"tot.hosp"
0.45,0,1,0.0416666666666667,0.0416666666666667,24,24,10,13,7,19,"death"
0.45,0,1,0.0416666666666667,0.0416666666666667,24,24,10,0,0,0,"sympiso"
0.45,0,1,0.0416666666666667,0.0416666666666667,24,24,10,0,0,0,"asympiso"
0.5,0,1,0.0416666666666667,0.0416666666666667,24,24,11,884,716,1071.05,"tot.cases"
0.5,0,1,0.0416666666666667,0.0416666666666667,24,24,11,6,4,9,"peak.hosp"
0.5,0,1,0.0416666666666667,0.0416666666666667,24,24,11,0,0,0,"days.above.thresh"
0.5,0,1,0.0416666666666667,0.0416666666666667,24,24,11,21,14,29,"tot.hosp"
0.5,0,1,0.0416666666666667,0.0416666666666667,24,24,11,11,6,17,"death"
0.5,0,1,0.0416666666666667,0.0416666666666667,24,24,11,0,0,0,"sympiso"
0.5,0,1,0.0416666666666667,0.0416666666666667,24,24,11,0,0,0,"asympiso"
0.55,0,1,0.0416666666666667,0.0416666666666667,24,24,12,684,549.95,833,"tot.cases"
0.55,0,1,0.0416666666666667,0.0416666666666667,24,24,12,5,3,8,"peak.hosp"
0.55,0,1,0.0416666666666667,0.0416666666666667,24,24,12,0,0,0,"days.above.thresh"
0.55,0,1,0.0416666666666667,0.0416666666666667,24,24,12,19,12,26,"tot.hosp"
0.55,0,1,0.0416666666666667,0.0416666666666667,24,24,12,10,6,15,"death"
0.55,0,1,0.0416666666666667,0.0416666666666667,24,24,12,0,0,0,"sympiso"
0.55,0,1,0.0416666666666667,0.0416666666666667,24,24,12,0,0,0,"asympiso"
0.6,0,1,0.0416666666666667,0.0416666666666667,24,24,13,522,414,646,"tot.cases"
0.6,0,1,0.0416666666666667,0.0416666666666667,24,24,13,4,3,7,"peak.hosp"
0.6,0,1,0.0416666666666667,0.0416666666666667,24,24,13,0,0,0,"days.above.thresh"
0.6,0,1,0.0416666666666667,0.0416666666666667,24,24,13,16,10,22,"tot.hosp"
0.6,0,1,0.0416666666666667,0.0416666666666667,24,24,13,9,5,14,"death"
0.6,0,1,0.0416666666666667,0.0416666666666667,24,24,13,0,0,0,"sympiso"
0.6,0,1,0.0416666666666667,0.0416666666666667,24,24,13,0,0,0,"asympiso"
0,100,1,0.0416666666666667,0.0416666666666667,24,24,14,1923,1539.95,2338,"tot.cases"
0,100,1,0.0416666666666667,0.0416666666666667,24,24,14,10,6,15,"peak.hosp"
0,100,1,0.0416666666666667,0.0416666666666667,24,24,14,0,0,0,"days.above.thresh"
0,100,1,0.0416666666666667,0.0416666666666667,24,24,14,35,25,46,"tot.hosp"
0,100,1,0.0416666666666667,0.0416666666666667,24,24,14,17,11,25,"death"
0,100,1,0.0416666666666667,0.0416666666666667,24,24,14,789.5,641,952,"sympiso"
0,100,1,0.0416666666666667,0.0416666666666667,24,24,14,24,16,32,"asympiso"
0.05,100,1,0.0416666666666667,0.0416666666666667,24,24,15,1653.5,1317,2024,"tot.cases"
0.05,100,1,0.0416666666666667,0.0416666666666667,24,24,15,9,5.95000000000002,14,"peak.hosp"
0.05,100,1,0.0416666666666667,0.0416666666666667,24,24,15,0,0,0,"days.above.thresh"
0.05,100,1,0.0416666666666667,0.0416666666666667,24,24,15,32,22.95,42,"tot.hosp"
0.05,100,1,0.0416666666666667,0.0416666666666667,24,24,15,16,10,23,"death"
0.05,100,1,0.0416666666666667,0.0416666666666667,24,24,15,700,570,843,"sympiso"
0.05,100,1,0.0416666666666667,0.0416666666666667,24,24,15,23,15,32,"asympiso"
0.1,100,1,0.0416666666666667,0.0416666666666667,24,24,16,1408,1099,1734,"tot.cases"
0.1,100,1,0.0416666666666667,0.0416666666666667,24,24,16,8,5,13,"peak.hosp"
0.1,100,1,0.0416666666666667,0.0416666666666667,24,24,16,0,0,0,"days.above.thresh"
0.1,100,1,0.0416666666666667,0.0416666666666667,24,24,16,28,20,39,"tot.hosp"
0.1,100,1,0.0416666666666667,0.0416666666666667,24,24,16,14,8,21,"death"
0.1,100,1,0.0416666666666667,0.0416666666666667,24,24,16,615,495,746,"sympiso"
0.1,100,1,0.0416666666666667,0.0416666666666667,24,24,16,22,15,30.0500000000002,"asympiso"
0.15,100,1,0.0416666666666667,0.0416666666666667,24,24,17,1189,927.95,1491,"tot.cases"
0.15,100,1,0.0416666666666667,0.0416666666666667,24,24,17,7,4,11,"peak.hosp"
0.15,100,1,0.0416666666666667,0.0416666666666667,24,24,17,0,0,0,"days.above.thresh"
0.15,100,1,0.0416666666666667,0.0416666666666667,24,24,17,26,18,35,"tot.hosp"
0.15,100,1,0.0416666666666667,0.0416666666666667,24,24,17,13,8,19.0500000000002,"death"
0.15,100,1,0.0416666666666667,0.0416666666666667,24,24,17,541,435.95,662,"sympiso"
0.15,100,1,0.0416666666666667,0.0416666666666667,24,24,17,21,13,29,"asympiso"
0.2,100,1,0.0416666666666667,0.0416666666666667,24,24,18,999,771,1246,"tot.cases"
0.2,100,1,0.0416666666666667,0.0416666666666667,24,24,18,6,4,10,"peak.hosp"
0.2,100,1,0.0416666666666667,0.0416666666666667,24,24,18,0,0,0,"days.above.thresh"
0.2,100,1,0.0416666666666667,0.0416666666666667,24,24,18,23,15,32,"tot.hosp"
0.2,100,1,0.0416666666666667,0.0416666666666667,24,24,18,12,7,18,"death"
0.2,100,1,0.0416666666666667,0.0416666666666667,24,24,18,474,384,574,"sympiso"
0.2,100,1,0.0416666666666667,0.0416666666666667,24,24,18,19,12,27,"asympiso"
0.25,100,1,0.0416666666666667,0.0416666666666667,24,24,19,838,649.95,1058,"tot.cases"
0.25,100,1,0.0416666666666667,0.0416666666666667,24,24,19,6,3,9,"peak.hosp"
0.25,100,1,0.0416666666666667,0.0416666666666667,24,24,19,0,0,0,"days.above.thresh"
0.25,100,1,0.0416666666666667,0.0416666666666667,24,24,19,21,14,29,"tot.hosp"
0.25,100,1,0.0416666666666667,0.0416666666666667,24,24,19,11,6,17,"death"
0.25,100,1,0.0416666666666667,0.0416666666666667,24,24,19,416,338,508,"sympiso"
0.25,100,1,0.0416666666666667,0.0416666666666667,24,24,19,17,11,25,"asympiso"
0.3,100,1,0.0416666666666667,0.0416666666666667,24,24,20,697,536,879.05,"tot.cases"
0.3,100,1,0.0416666666666667,0.0416666666666667,24,24,20,5,3,8,"peak.hosp"
0.3,100,1,0.0416666666666667,0.0416666666666667,24,24,20,0,0,0,"days.above.thresh"
0.3,100,1,0.0416666666666667,0.0416666666666667,24,24,20,19,12,26,"tot.hosp"
0.3,100,1,0.0416666666666667,0.0416666666666667,24,24,20,10,6,15,"death"
0.3,100,1,0.0416666666666667,0.0416666666666667,24,24,20,365,299,441,"sympiso"
0.3,100,1,0.0416666666666667,0.0416666666666667,24,24,20,16,9,23,"asympiso"
