"d","tot.tests","sens","Ds","Da","Ts","Ta","sim","median","lower","upper","objective"
0,0,1,0.0416666666666667,0.0416666666666667,24,24,1,5304,4820.95,5719,"tot.cases"
0,0,1,0.0416666666666667,0.0416666666666667,24,24,1,28,20,37,"peak.hosp"
0,0,1,0.0416666666666667,0.0416666666666667,24,24,1,0,0,0,"days.above.thresh"
0,0,1,0.0416666666666667,0.0416666666666667,24,24,1,82,65,99,"tot.hosp"
0,0,1,0.0416666666666667,0.0416666666666667,24,24,1,36,26,47,"death"
0,0,1,0.0416666666666667,0.0416666666666667,24,24,1,0,0,0,"sympiso"
0,0,1,0.0416666666666667,0.0416666666666667,24,24,1,0,0,0,"asympiso"
0.05,0,1,0.0416666666666667,0.0416666666666667,24,24,2,4753,4274,5181.05,"tot.cases"
0.05,0,1,0.0416666666666667,0.0416666666666667,24,24,2,24,17,33,"peak.hosp"
0.05,0,1,0.0416666666666667,0.0416666666666667,24,24,2,0,0,0,"days.above.thresh"
0.05,0,1,0.0416666666666667,0.0416666666666667,24,24,2,74,58,91,"tot.hosp"
0.05,0,1,0.0416666666666667,0.0416666666666667,24,24,2,33,24,44,"death"
0.05,0,1,0.0416666666666667,0.0416666666666667,24,24,2,0,0,0,"sympiso"
0.05,0,1,0.0416666666666667,0.0416666666666667,24,24,2,0,0,0,"asympiso"
0.1,0,1,0.0416666666666667,0.0416666666666667,24,24,3,4187,3735,4632.05,"tot.cases"
0.1,0,1,0.0416666666666667,0.0416666666666667,24,24,3,21,15,29,"peak.hosp"
0.1,0,1,0.0416666666666667,0.0416666666666667,24,24,3,0,0,0,"days.above.thresh"
0.1,0,1,0.0416666666666667,0.0416666666666667,24,24,3,65,51,81,"tot.hosp"
0.1,0,1,0.0416666666666667,0.0416666666666667,24,24,3,30,21,40,"death"
0.1,0,1,0.0416666666666667,0.0416666666666667,24,24,3,0,0,0,"sympiso"
0.1,0,1,0.0416666666666667,0.0416666666666667,24,24,3,0,0,0,"asympiso"
0.15,0,1,0.0416666666666667,0.0416666666666667,24,24,4,3649,3182,4077,"tot.cases"
0.15,0,1,0.0416666666666667,0.0416666666666667,24,24,4,18,12,26,"peak.hosp"
0.15,0,1,0.0416666666666667,0.0416666666666667,24,24,4,0,0,0,"days.above.thresh"
0.15,0,1,0.0416666666666667,0.0416666666666667,24,24,4,58,44,72,"tot.hosp"
0.15,0,1,0.0416666666666667,0.0416666666666667,24,24,4,26,18,36,"death"
0.15,0,1,0.0416666666666667,0.0416666666666667,24,24,4,0,0,0,"sympiso"
0.15,0,1,0.0416666666666667,0.0416666666666667,24,24,4,0,0,0,"asympiso"
0.2,0,1,0.0416666666666667,0.0416666666666667,24,24,5,3112,2693,3527.05,"tot.cases"
0.2,0,1,0.0416666666666667,0.0416666666666667,24,24,5,16,10,23,"peak.hosp"
0.2,0,1,0.0416666666666667,0.0416666666666667,24,24,5,0,0,0,"days.above.thresh"
0.2,0,1,0.0416666666666667,0.0416666666666667,24,24,5,51,38,65,"tot.hosp"
0.2,0,1,0.0416666666666667,0.0416666666666667,24,24,5,24,16,33,"death"
0.2,0,1,0.0416666666666667,0.0416666666666667,24,24,5,0,0,0,"sympiso"
0.2,0,1,0.0416666666666667,0.0416666666666667,24,24,5,0,0,0,"asympiso"
0.25,0,1,0.0416666666666667,0.0416666666666667,24,24,6,2617,2244.95,3004,"tot.cases"
0.25,0,1,0.0416666666666667,0.0416666666666667,24,24,6,14,9,20,"peak.hosp"
0.25,0,1,0.0416666666666667,0.0416666666666667,24,24,6,0,0,0,"days.above.thresh"
0.25,0,1,0.0416666666666667,0.0416666666666667,24,24,6,44,33,57,"tot.hosp"
0.25,0,1,0.0416666666666667,0.0416666666666667,24,24,6,21,14,29,"death"
0.25,0,1,0.0416666666666667,0.0416666666666667,24,24,6,0,0,0,"sympiso"
0.25,0,1,0.0416666666666667,0.0416666666666667,24,24,6,0,0,0,"asympiso"
0.3,0,1,0.0416666666666667,0.0416666666666667,24,24,7,2173,1837,2523.05,"tot.cases"
0.3,0,1,0.0416666666666667,0.0416666666666667,24,24,7,11,7,17,"peak.hosp"
0.3,0,1,0.0416666666666667,0.0416666666666667,24,24,7,0,0,0,"days.above.thresh"
0.3,0,1,0.0416666666666667,0.0416666666666667,24,24,7,39,28,51,"tot.hosp"
0.3,0,1,0.0416666666666667,0.0416666666666667,24,24,7,19,12,26,"death"
0.3,0,1,0.0416666666666667,0.0416666666666667,24,24,7,0,0,0,"sympiso"
0.3,0,1,0.0416666666666667,0.0416666666666667,24,24,7,0,0,0,"asympiso"
0.35,0,1,0.0416666666666667,0.0416666666666667,24,24,8,1772,1484,2080,"tot.cases"
0.35,0,1,0.0416666666666667,0.0416666666666667,24,24,8,10,6,15,"peak.hosp"
0.35,0,1,0.0416666666666667,0.0416666666666667,24,24,8,0,0,0,"days.above.thresh"
0.35,0,1,0.0416666666666667,0.0416666666666667,24,24,8,33,24,44,"tot.hosp"
0.35,0,1,0.0416666666666667,0.0416666666666667,24,24,8,17,10,24,"death"
0.35,0,1,0.0416666666666667,0.0416666666666667,24,24,8,0,0,0,"sympiso"
0.35,0,1,0.0416666666666667,0.0416666666666667,24,24,8,0,0,0,"asympiso"
0.4,0,1,0.0416666666666667,0.0416666666666667,24,24,9,1425,1174,1686,"tot.cases"
0.4,0,1,0.0416666666666667,0.0416666666666667,24,24,9,8,5,13,"peak.hosp"
0.4,0,1,0.0416666666666667,0.0416666666666667,24,24,9,0,0,0,"days.above.thresh"
0.4,0,1,0.0416666666666667,0.0416666666666667,24,24,9,29,20,38,"tot.hosp"
0.4,0,1,0.0416666666666667,0.0416666666666667,24,24,9,15,9,21,"death"
0.4,0,1,0.0416666666666667,0.0416666666666667,24,24,9,0,0,0,"sympiso"
0.4,0,1,0.0416666666666667,0.0416666666666667,24,24,9,0,0,0,"asympiso"
0.45,0,1,0.0416666666666667,0.0416666666666667,24,24,10,1127,919,1359,"tot.cases"
0.45,0,1,0.0416666666666667,0.0416666666666667,24,24,10,7,4,11,"peak.hosp"
0.45,0,1,0.0416666666666667,0.0416666666666667,24,24,10,0,0,0,"days.above.thresh"
0.45,0,1,0.0416666666666667,0.0416666666666667,24,24,10,25,17,34,"tot.hosp"
0.45,0,1,0.0416666666666667,0.0416666666666667,24,24,10,13,8,19,"death"
0.45,0,1,0.0416666666666667,0.0416666666666667,24,24,10,0,0,0,"sympiso"
0.45,0,1,0.0416666666666667,0.0416666666666667,24,24,10,0,0,0,"asympiso"
0.5,0,1,0.0416666666666667,0.0416666666666667,24,24,11,885,714,1065,"tot.cases"
0.5,0,1,0.0416666666666667,0.0416666666666667,24,24,11,6,4,9,"peak.hosp"
0.5,0,1,0.0416666666666667,0.0416666666666667,24,24,11,0,0,0,"days.above.thresh"
0.5,0,1,0.0416666666666667,0.0416666666666667,24,24,11,21,15,29,"tot.hosp"
0.5,0,1,0.0416666666666667,0.0416666666666667,24,24,11,11,6,17,"death"
0.5,0,1,0.0416666666666667,0.0416666666666667,24,24,11,0,0,0,"sympiso"
0.5,0,1,0.0416666666666667,0.0416666666666667,24,24,11,0,0,0,"asympiso"
0.55,0,1,0.0416666666666667,0.0416666666666667,24,24,12,687,548.95,837,"tot.cases"
0.55,0,1,0.0416666666666667,0.0416666666666667,24,24,12,5,3,8,"peak.hosp"
0.55,0,1,0.0416666666666667,0.0416666666666667,24,24,12,0,0,0,"days.above.thresh"
0.55,0,1,0.0416666666666667,0.0416666666666667,24,24,12,18,12,26,"tot.hosp"
0.55,0,1,0.0416666666666667,0.0416666666666667,24,24,12,10,5,15,"death"
0.55,0,1,0.0416666666666667,0.0416666666666667,24,24,12,0,0,0,"sympiso"
0.55,0,1,0.0416666666666667,0.0416666666666667,24,24,12,0,0,0,"asympiso"
0.6,0,1,0.0416666666666667,0.0416666666666667,24,24,13,523,414,641.05,"tot.cases"
0.6,0,1,0.0416666666666667,0.0416666666666667,24,24,13,5,3,7,"peak.hosp"
0.6,0,1,0.0416666666666667,0.0416666666666667,24,24,13,0,0,0,"days.above.thresh"
0.6,0,1,0.0416666666666667,0.0416666666666667,24,24,13,16,10,22,"tot.hosp"
0.6,0,1,0.0416666666666667,0.0416666666666667,24,24,13,9,5,14,"death"
0.6,0,1,0.0416666666666667,0.0416666666666667,24,24,13,0,0,0,"sympiso"
0.6,0,1,0.0416666666666667,0.0416666666666667,24,24,13,0,0,0,"asympiso"
0,100,1,0.0416666666666667,0.0416666666666667,24,24,14,1894.5,1516,2305.05,"tot.cases"
0,100,1,0.0416666666666667,0.0416666666666667,24,24,14,10,6,16,"peak.hosp"
0,100,1,0.0416666666666667,0.0416666666666667,24,24,14,0,0,0,"days.above.thresh"
0,100,1,0.0416666666666667,0.0416666666666667,24,24,14,35,25,46,"tot.hosp"
0,100,1,0.0416666666666667,0.0416666666666667,24,24,14,17,11,24,"death"
0,100,1,0.0416666666666667,0.0416666666666667,24,24,14,783,635.95,944,"sympiso"
0,100,1,0.0416666666666667,0.0416666666666667,24,24,14,27,19,37,"asympiso"
0.05,100,1,0.0416666666666667,0.0416666666666667,24,24,15,1627,1282,1997.05,"tot.cases"
0.05,100,1,0.0416666666666667,0.0416666666666667,24,24,15,9,5,14,"peak.hosp"
0.05,100,1,0.0416666666666667,0.0416666666666667,24,24,15,0,0,0,"days.above.thresh"
0.05,100,1,0.0416666666666667,0.0416666666666667,24,24,15,31,22,42,"tot.hosp"
0.05,100,1,0.0416666666666667,0.0416666666666667,24,24,15,15,9,23,"death"
0.05,100,1,0.0416666666666667,0.0416666666666667,24,24,15,692,560,838,"sympiso"
0.05,100,1,0.0416666666666667,0.0416666666666667,24,24,15,26,18,36,"asympiso"
0.1,100,1,0.0416666666666667,0.0416666666666667,24,24,16,1379,1088,1706.05,"tot.cases"
0.1,100,1,0.0416666666666667,0.0416666666666667,24,24,16,8,5,12,"peak.hosp"
0.1,100,1,0.0416666666666667,0.0416666666666667,24,24,16,0,0,0,"days.above.thresh"
0.1,100,1,0.0416666666666667,0.0416666666666667,24,24,16,28,19,38,"tot.hosp"
0.1,100,1,0.0416666666666667,0.0416666666666667,24,24,16,14,8,21,"death"
0.1,100,1,0.0416666666666667,0.0416666666666667,24,24,16,607,495,737,"sympiso"
0.1,100,1,0.0416666666666667,0.0416666666666667,24,24,16,25,17,34,"asympiso"
0.15,100,1,0.0416666666666667,0.0416666666666667,24,24,17,1174,912,1450.05,"tot.cases"
0.15,100,1,0.0416666666666667,0.0416666666666667,24,24,17,7,4,11,"peak.hosp"
0.15,100,1,0.0416666666666667,0.0416666666666667,24,24,17,0,0,0,"days.above.thresh"
0.15,100,1,0.0416666666666667,0.0416666666666667,24,24,17,25,17,35,"tot.hosp"
0.15,100,1,0.0416666666666667,0.0416666666666667,24,24,17,13,8,19,"death"
0.15,100,1,0.0416666666666667,0.0416666666666667,24,24,17,537,434,650,"sympiso"
0.15,100,1,0.0416666666666667,0.0416666666666667,24,24,17,23,15,32,"asympiso"
0.2,100,1,0.0416666666666667,0.0416666666666667,24,24,18,990,761,1231.05,"tot.cases"
0.2,100,1,0.0416666666666667,0.0416666666666667,24,24,18,6,4,10,"peak.hosp"
0.2,100,1,0.0416666666666667,0.0416666666666667,24,24,18,0,0,0,"days.above.thresh"
0.2,100,1,0.0416666666666667,0.0416666666666667,24,24,18,23,15,31,"tot.hosp"
