"d","tot.tests","sens","Ds","Da","Ts","Ta","sim","median","lower","upper","objective"
0,0,1,0.0416666666666667,0.0416666666666667,24,24,1,4542,4107.95,4951,"tot.cases"
0,0,1,0.0416666666666667,0.0416666666666667,24,24,1,23,16,32,"peak.hosp"
0,0,1,0.0416666666666667,0.0416666666666667,24,24,1,0,0,0,"days.above.thresh"
0,0,1,0.0416666666666667,0.0416666666666667,24,24,1,71,56,87,"tot.hosp"
0,0,1,0.0416666666666667,0.0416666666666667,24,24,1,32,23,42,"death"
0,0,1,0.0416666666666667,0.0416666666666667,24,24,1,0,0,0,"sympiso"
0,0,1,0.0416666666666667,0.0416666666666667,24,24,1,0,0,0,"asympiso"
0.05,0,1,0.0416666666666667,0.0416666666666667,24,24,2,4031,3593.95,4465,"tot.cases"
0.05,0,1,0.0416666666666667,0.0416666666666667,24,24,2,21,14,28,"peak.hosp"
0.05,0,1,0.0416666666666667,0.0416666666666667,24,24,2,0,0,0,"days.above.thresh"
0.05,0,1,0.0416666666666667,0.0416666666666667,24,24,2,63,50,79,"tot.hosp"
0.05,0,1,0.0416666666666667,0.0416666666666667,24,24,2,29,20,39,"death"
0.05,0,1,0.0416666666666667,0.0416666666666667,24,24,2,0,0,0,"sympiso"
0.05,0,1,0.0416666666666667,0.0416666666666667,24,24,2,0,0,0,"asympiso"
0.1,0,1,0.0416666666666667,0.0416666666666667,24,24,3,3544,3110,3959,"tot.cases"
0.1,0,1,0.0416666666666667,0.0416666666666667,24,24,3,18,12,25,"peak.hosp"
0.1,0,1,0.0416666666666667,0.0416666666666667,24,24,3,0,0,0,"days.above.thresh"
0.1,0,1,0.0416666666666667,0.0416666666666667,24,24,3,56,43,71,"tot.hosp"
0.1,0,1,0.0416666666666667,0.0416666666666667,24,24,3,26,18,36,"death"
0.1,0,1,0.0416666666666667,0.0416666666666667,24,24,3,0,0,0,"sympiso"
0.1,0,1,0.0416666666666667,0.0416666666666667,24,24,3,0,0,0,"asympiso"
0.15,0,1,0.0416666666666667,0.0416666666666667,24,24,4,3067,2663,3482,"tot.cases"
0.15,0,1,0.0416666666666667,0.0416666666666667,24,24,4,16,10,23,"peak.hosp"
0.15,0,1,0.0416666666666667,0.0416666666666667,24,24,4,0,0,0,"days.above.thresh"
0.15,0,1,0.0416666666666667,0.0416666666666667,24,24,4,50,38,64,"tot.hosp"
0.15,0,1,0.0416666666666667,0.0416666666666667,24,24,4,23,16,32,"death"
0.15,0,1,0.0416666666666667,0.0416666666666667,24,24,4,0,0,0,"sympiso"
0.15,0,1,0.0416666666666667,0.0416666666666667,24,24,4,0,0,0,"asympiso"
0.2,0,1,0.0416666666666667,0.0416666666666667,24,24,5,2614,2244.95,2996,"tot.cases"
0.2,0,1,0.0416666666666667,0.0416666666666667,24,24,5,13,9,20,"peak.hosp"
0.2,0,1,0.0416666666666667,0.0416666666666667,24,24,5,0,0,0,"days.above.thresh"
0.2,0,1,0.0416666666666667,0.0416666666666667,24,24,5,44,33,57,"tot.hosp"
0.2,0,1,0.0416666666666667,0.0416666666666667,24,24,5,21,14,29,"death"
0.2,0,1,0.0416666666666667,0.0416666666666667,24,24,5,0,0,0,"sympiso"
