"d","tot.tests","sens","Ds","Da","Ts","Ta","sim","median","lower","upper","objective"
0,0,1,0.0416666666666667,0.0416666666666667,24,24,1,3239,2847,3629,"tot.cases"
0,0,1,0.0416666666666667,0.0416666666666667,24,24,1,17,11,24,"peak.hosp"
0,0,1,0.0416666666666667,0.0416666666666667,24,24,1,0,0,0,"days.above.thresh"
0,0,1,0.0416666666666667,0.0416666666666667,24,24,1,53,41,68,"tot.hosp"
0,0,1,0.0416666666666667,0.0416666666666667,24,24,1,25,17,34,"death"
0,0,1,0.0416666666666667,0.0416666666666667,24,24,1,0,0,0,"sympiso"
0,0,1,0.0416666666666667,0.0416666666666667,24,24,1,0,0,0,"asympiso"
0.05,0,1,0.0416666666666667,0.0416666666666667,24,24,2,2857,2483.95,3216,"tot.cases"
0.05,0,1,0.0416666666666667,0.0416666666666667,24,24,2,15,10,21,"peak.hosp"
0.05,0,1,0.0416666666666667,0.0416666666666667,24,24,2,0,0,0,"days.above.thresh"
0.05,0,1,0.0416666666666667,0.0416666666666667,24,24,2,48,36,61,"tot.hosp"
0.05,0,1,0.0416666666666667,0.0416666666666667,24,24,2,23,15,31,"death"
0.05,0,1,0.0416666666666667,0.0416666666666667,24,24,2,0,0,0,"sympiso"
0.05,0,1,0.0416666666666667,0.0416666666666667,24,24,2,0,0,0,"asympiso"
0.1,0,1,0.0416666666666667,0.0416666666666667,24,24,3,2488,2128,2835,"tot.cases"
0.1,0,1,0.0416666666666667,0.0416666666666667,24,24,3,13,8,19,"peak.hosp"
0.1,0,1,0.0416666666666667,0.0416666666666667,24,24,3,0,0,0,"days.above.thresh"
0.1,0,1,0.0416666666666667,0.0416666666666667,24,24,3,43,32,55,"tot.hosp"
0.1,0,1,0.0416666666666667,0.0416666666666667,24,24,3,21,13,28,"death"
0.1,0,1,0.0416666666666667,0.0416666666666667,24,24,3,0,0,0,"sympiso"
0.1,0,1,0.0416666666666667,0.0416666666666667,24,24,3,0,0,0,"asympiso"
0.15,0,1,0.0416666666666667,0.0416666666666667,24,24,4,2151,1826.95,2476.05,"tot.cases"
0.15,0,1,0.0416666666666667,0.0416666666666667,24,24,4,11,7,17,"peak.hosp"
0.15,0,1,0.0416666666666667,0.0416666666666667,24,24,4,0,0,0,"days.above.thresh"
0.15,0,1,0.0416666666666667,0.0416666666666667,24,24,4,38,28,50,"tot.hosp"
0.15,0,1,0.0416666666666667,0.0416666666666667,24,24,4,19,12,26,"death"
0.15,0,1,0.0416666666666667,0.0416666666666667,24,24,4,0,0,0,"sympiso"
0.15,0,1,0.0416666666666667,0.0416666666666667,24,24,4,0,0,0,"asympiso"
0.2,0,1,0.0416666666666667,0.0416666666666667,24,24,5,1832,1531,2129,"tot.cases"
0.2,0,1,0.0416666666666667,0.0416666666666667,24,24,5,10,6,15,"peak.hosp"
0.2,0,1,0.0416666666666667,0.0416666666666667,24,24,5,0,0,0,"days.above.thresh"
