"d","tot.tests","sens","Ds","rho","Da","Ts","Ta","sim","median","lower","upper","objective"
0,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,1,3360,2917.95,3796,"tot.cases"
0,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,1,17,11,24,"peak.hosp"
0,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,1,0,0,0,"days.above.thresh"
0,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,1,54,41,68,"tot.hosp"
0,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,1,25,17,34,"death"
0,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,1,0,0,0,"sympiso"
0,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,1,0,0,0,"asympiso"
0.05,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,2,2957,2547,3345,"tot.cases"
0.05,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,2,15,10,22,"peak.hosp"
0.05,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,2,0,0,0,"days.above.thresh"
0.05,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,2,49,37,62,"tot.hosp"
0.05,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,2,23,15,32,"death"
0.05,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,2,0,0,0,"sympiso"
0.05,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,2,0,0,0,"asympiso"
0.1,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,3,2568,2193,2949,"tot.cases"
0.1,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,3,13,8,19,"peak.hosp"
0.1,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,3,0,0,0,"days.above.thresh"
0.1,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,3,44,33,56,"tot.hosp"
0.1,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,3,21,14,29,"death"
0.1,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,3,0,0,0,"sympiso"
0.1,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,3,0,0,0,"asympiso"
0.15,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,4,2206,1871.85,2553,"tot.cases"
0.15,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,4,12,7,17,"peak.hosp"
0.15,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,4,0,0,0,"days.above.thresh"
0.15,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,4,39,29,51,"tot.hosp"
0.15,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,4,19,12,26,"death"
0.15,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,4,0,0,0,"sympiso"
0.15,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,4,0,0,0,"asympiso"
0.2,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,5,1874,1567,2190.05,"tot.cases"
0.2,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,5,10,6,15,"peak.hosp"
0.2,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,5,0,0,0,"days.above.thresh"
0.2,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,5,35,25,46,"tot.hosp"
0.2,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,5,17,11,24,"death"
0.2,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,5,0,0,0,"sympiso"
0.2,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,5,0,0,0,"asympiso"
0.25,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,6,1585,1308,1872,"tot.cases"
0.25,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,6,9,5,13,"peak.hosp"
0.25,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,6,0,0,0,"days.above.thresh"
0.25,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,6,31,22,41,"tot.hosp"
0.25,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,6,15,9,22,"death"
0.25,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,6,0,0,0,"sympiso"
0.25,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,6,0,0,0,"asympiso"
0.3,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,7,1317,1085,1566,"tot.cases"
0.3,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,7,8,5,12,"peak.hosp"
0.3,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,7,0,0,0,"days.above.thresh"
0.3,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,7,27,19,37,"tot.hosp"
0.3,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,7,14,9,20,"death"
0.3,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,7,0,0,0,"sympiso"
0.3,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,7,0,0,0,"asympiso"
0.35,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,8,1093,894,1306,"tot.cases"
0.35,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,8,7,4,10,"peak.hosp"
0.35,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,8,0,0,0,"days.above.thresh"
0.35,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,8,24,17,33,"tot.hosp"
0.35,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,8,13,7,18,"death"
0.35,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,8,0,0,0,"sympiso"
0.35,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,8,0,0,0,"asympiso"
0.4,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,9,898,720.95,1080,"tot.cases"
0.4,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,9,6,4,9,"peak.hosp"
0.4,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,9,0,0,0,"days.above.thresh"
0.4,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,9,21,15,29,"tot.hosp"
0.4,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,9,11,6,17,"death"
0.4,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,9,0,0,0,"sympiso"
0.4,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,9,0,0,0,"asympiso"
0.45,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,10,729,582.95,886,"tot.cases"
0.45,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,10,5,3,8,"peak.hosp"
0.45,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,10,0,0,0,"days.above.thresh"
0.45,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,10,19,13,27,"tot.hosp"
0.45,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,10,10,6,16,"death"
0.45,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,10,0,0,0,"sympiso"
0.45,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,10,0,0,0,"asympiso"
0.5,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,11,585,465,712.05,"tot.cases"
