"d","tot.tests","sens","Ds","p","Da","Ts","Ta","sim","median","lower","upper","objective"
0,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,1,5610,5148.95,6033,"tot.cases"
0,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,1,39,29,50,"peak.hosp"
0,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,1,0,0,0,"days.above.thresh"
0,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,1,114,93,137,"tot.hosp"
0,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,1,50,38,64,"death"
0,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,1,0,0,0,"sympiso"
0,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,1,0,0,0,"asympiso"
0.05,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,2,5052,4576,5482,"tot.cases"
0.05,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,2,35,26,45,"peak.hosp"
0.05,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,2,0,0,0,"days.above.thresh"
0.05,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,2,102,83,124,"tot.hosp"
0.05,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,2,45,34,58,"death"
0.05,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,2,0,0,0,"sympiso"
0.05,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,2,0,0,0,"asympiso"
0.1,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,3,4485.5,4011,4923.05,"tot.cases"
0.1,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,3,30,22,40,"peak.hosp"
0.1,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,3,0,0,0,"days.above.thresh"
0.1,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,3,91,73,111,"tot.hosp"
0.1,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,3,41,30,53,"death"
0.1,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,3,0,0,0,"sympiso"
0.1,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,3,0,0,0,"asympiso"
0.15,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,4,3906.5,3438,4345.05,"tot.cases"
0.15,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,4,26,18,35,"peak.hosp"
0.15,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,4,0,0,0,"days.above.thresh"
0.15,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,4,80,63,99,"tot.hosp"
0.15,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,4,36,26,48,"death"
